任务号,任务来源ID,物料编码,物料名称,总数量,完成数量,实际开始时间,实际完成时间,需入库时间,是否按时完成,延期天数,优先级,未完成原因,所包含订单
16,ID49,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,52,"[52, 52, 52]",2023-11-23 00:00:00,2023-11-23,2023-10-13,No,-41,PO(客户已付款),"原材料不足,关键物料:10.04.13.065有货时间:2023-11-23",ID49
17,ID50,13.01.02.039,TF02-Pro-Breezer,100,"[100, 100, 100]",2023-11-16 00:00:00,2023-11-18,2023-10-13,No,-36,PR(客户提出付款意向),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-16",ID50
18,ID51,13.01.04.060,TFmini-S-LH (单品包装)-V1.0,100,"[100, 100, 100]",2023-10-28 00:00:00,2023-10-28,2023-10-13,No,-15,PO(客户付款),"原材料不足,关键物料:10.03.02.377有货时间:2023-10-28",ID51
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2023-12-21 00:00:00,2023-12-25,2023-10-08,No,-78,YG(供应链预估),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18","ID12,ID62,ID104"
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,120,"[120, 120, 120]",2023-10-20 00:00:00,2023-10-20,2023-10-08,No,-12,YG(供应链预估),"原材料不足,关键物料:10.04.13.018有货时间:2023-10-20","ID18,ID32,ID68,ID82,ID110,ID124,ID155,ID169,ID209,ID223,ID249,ID263"
21,ID89,13.01.07.008,TF-Luna-ASU,900,"[900, 900, 900]",2023-10-10 00:00:00,2023-10-12,2023-10-15,Yes,3,PR(客户提出付款意向),无,ID89
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,250,"[250, 250, 250]",2023-11-16 00:00:00,2023-11-18,2023-10-16,No,-33,PO(客户付款),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-16",ID92
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,2300,"[2300, 2300, 2300]",2023-12-16 00:00:00,2023-12-20,2023-10-20,No,-61,PO(客户付款),"原材料不足,关键物料:12.01.01.224有货时间:2023-12-16",ID93
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,200,"[200, 200, 200]",2023-10-20 00:00:00,2023-10-20,2023-10-08,No,-12,YG(供应链预估),"原材料不足,关键物料:10.04.13.002有货时间:2023-10-20","ID9,ID59,ID101,ID146,ID200,ID240,ID279,ID316,ID363,ID399,ID456,ID493,ID528,ID568,ID629,ID669,ID709,ID749,ID810,ID877"
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2023-10-13 00:00:00,2023-10-14,2023-10-14,Yes,0,YG(供应链预估),无,"ID71,ID85,ID113,ID127"
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-10 00:00:00,2023-10-10,2023-10-08,No,-2,YG(供应链预估),优先级不足,"ID23,ID36,ID73,ID86,ID115,ID128"
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2023-12-14 00:00:00,2023-12-25,2023-10-14,No,-72,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2023-12-13","ID69,ID83,ID111,ID125,ID156,ID170"
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2023-12-14 00:00:00,2023-12-26,2023-10-14,No,-73,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2023-12-13","ID70,ID84,ID87,ID112,ID126,ID157,ID171"
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,1500,"[1500, 1500, 1500]",2023-11-29 00:00:00,2023-12-05,2023-11-07,No,-28,PO(客户付款),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-29",ID192
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-02-06 00:00:00,2024-02-15,2023-10-14,No,-124,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-02-02","ID60,ID81,ID102,ID123,ID147,ID168,ID201,ID222"
31,ID130,13.01.07.008,TF-Luna-ASU,2000,"[2000, 2000, 2000]",2023-12-13 00:00:00,2023-12-14,2023-10-24,No,-51,PO(客户付款),"原材料不足,关键物料:12.01.01.214有货时间:2023-12-13",ID130
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-10 00:00:00,2023-10-11,2023-10-14,Yes,3,YG(供应链预估),无,"ID58,ID80,ID100,ID122,ID145,ID167,ID174,ID199,ID221,ID239,ID261,ID278,ID300,ID315,ID337"
33,ID133,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1445,"[1445, 1445, 1445]",2024-02-02 00:00:00,2024-02-06,2023-10-25,No,-104,PO(客户已付款),"原材料不足,关键物料:12.01.01.215有货时间:2024-02-02",ID133
34,ID132,13.01.07.008,TF-Luna-ASU,2000,"[2000, 2000, 2000]",2023-12-13 00:00:00,2023-12-16,2023-10-25,No,-52,PO(客户付款),"原材料不足,关键物料:12.01.01.214有货时间:2023-12-13",ID132
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,200,"[200, 200, 200]",2023-10-09 00:00:00,2023-10-10,2023-10-23,Yes,13,PO(客户付款),无,ID129
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,96,"[96, 96, 96]",2023-11-16 00:00:00,2023-11-20,2023-10-14,No,-37,YG(供应链预估),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-16","ID54,ID77,ID96,ID119,ID141,ID164,ID195,ID218"
37,ID57,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,48,"[0, 0, 0]",未开始,2024-07-13,2023-10-14,No,-273,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID57,ID99,ID144,ID198,ID238,ID277,ID314,ID361"
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,2,"[2, 2, 2]",2023-10-09 00:00:00,2023-10-09,2023-10-14,Yes,5,YG(供应链预估),无,ID67
39,ID355,DZ.01.02.023.F,TF02-Pro标品(整箱包装)-V1.0-软件定制,3500,"[3500, 3500, 3500]",2024-06-24 00:00:00,2024-07-09,2023-12-07,No,-215,PO(客户付款),"原材料不足,关键物料:12.01.01.136有货时间:2024-06-24",ID355
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,1000,"[1000, 1000, 1000]",2023-10-20 00:00:00,2023-10-26,2023-11-08,Yes,13,YC(销售预测),无,ID131
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,2,"[2, 2, 2]",2023-10-09 00:00:00,2023-10-10,2023-10-21,Yes,11,YG(供应链预估),无,ID109
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,"[30, 30, 30]",2023-12-20 00:00:00,2023-12-25,2023-10-21,No,-65,YC(销售预测),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18",ID1
43,ID172,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2023-10-28 00:00:00,2023-10-30,2023-10-28,No,-2,YG(供应链预估),"原材料不足,关键物料:10.02.02.013有货时间:2023-10-28","ID158,ID172,ID212,ID226,ID252,ID266"
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,20,"[20, 20, 20]",2023-10-10 00:00:00,2023-10-11,2023-10-21,Yes,10,YG(供应链预估),无,"ID118,ID163,ID217,ID257,ID296,ID333,ID380,ID416,ID473,ID510,ID550,ID590,ID651,ID691,ID731,ID771,ID832,ID859,ID912,ID952"
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,"[100, 100, 100]",2023-10-11 00:00:00,2023-10-11,2023-10-25,Yes,14,YG(供应链预估),无,"ID40,ID535"
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2023-12-25 00:00:00,2023-12-26,2023-10-28,No,-59,YG(供应链预估),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18","ID149,ID203,ID243"
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,55,"[55, 55, 55]",2023-10-20 00:00:00,2023-10-20,2023-10-28,Yes,8,YG(供应链预估),无,ID148
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-10 00:00:00,2023-10-11,2023-10-28,Yes,17,YG(供应链预估),无,"ID160,ID173,ID214,ID227,ID254,ID267,ID293,ID306"
49,ID228,13.01.07.008,TF-Luna-ASU,1500,"[1500, 1500, 1500]",2023-12-13 00:00:00,2023-12-18,2023-11-09,No,-39,PO(客户付款),"原材料不足,关键物料:12.01.01.214有货时间:2023-12-13",ID228
50,ID230,13.01.07.008,TF-Luna-ASU,1500,"[1500, 1500, 1500]",2023-12-14 00:00:00,2023-12-19,2023-11-10,No,-39,PO(客户付款),"优先级不足,关键物料12.01.01.214有货时间:2023-12-13",ID230
51,ID45,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2023-10-30 00:00:00,2023-11-03,2023-11-12,Yes,9,YG(供应链预估),无,"ID45,ID72,ID114,ID159,ID176,ID181,ID187,ID213"
52,ID219,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2023-11-07,No,-249,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID196,ID219,ID236,ID259,ID275,ID298,ID312,ID335"
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,480,"[480, 480, 480]",2024-02-15 00:00:00,2024-02-19,2023-11-13,No,-98,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID178,ID179,ID180,ID184,ID208,ID248"
54,ID224,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2023-12-16 00:00:00,2023-12-28,2023-11-07,No,-51,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2023-12-13","ID210,ID224,ID250,ID264,ID289,ID303"
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,4800,"[4800, 4800, 4800]",2024-02-19 00:00:00,2024-02-27,2023-11-12,No,-107,XD(意向询单),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID43,ID46"
56,ID232,13.01.07.008,TF-Luna-ASU,1000,"[1000, 1000, 1000]",2024-02-15 00:00:00,2024-02-21,2023-11-13,No,-100,PR(客户提出付款意向),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02",ID232
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2023-11-11 00:00:00,2023-11-15,2023-11-14,No,-1,YG(供应链预估),"原材料不足,关键物料:10.03.02.146有货时间:2023-11-11","ID253,ID292,ID308,ID329"
58,ID138,13.01.02.039,TF02-Pro-Breezer,450,"[0, 0, 0]",未开始,2024-07-13,2023-11-11,No,-245,YC(销售预测),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06",ID138
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,120,"[120, 120, 120]",2023-11-17 00:00:00,2023-11-18,2023-11-09,No,-9,YC(销售预测),"优先级不足,关键物料12.01.01.164有货时间:2023-11-16",ID135
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,"[120, 120, 120]",2024-02-20 00:00:00,2024-02-22,2023-11-09,No,-105,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID134,ID137,ID154"
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,20,"[20, 20, 20]",2023-12-20 00:00:00,2023-12-21,2023-11-07,No,-44,YG(供应链预估),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18","ID215,ID255,ID294,ID331,ID378,ID414,ID447,ID471,ID508"
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,120,"[120, 120, 120]",2024-02-21 00:00:00,2024-02-22,2023-11-10,No,-104,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID136,ID150,ID204,ID244,ID283,ID320"
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-02-22 00:00:00,2024-02-26,2023-11-13,No,-105,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID177,ID183,ID188,ID189,ID190,ID211,ID225"
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,"[1500, 1500, 1500]",2024-02-23 00:00:00,2024-02-26,2023-11-13,No,-105,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-02-02","ID182,ID202,ID242,ID281,ID318,ID365,ID401,ID435,ID458,ID495"
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,190,"[190, 190, 190]",2024-02-28 00:00:00,2024-02-29,2023-11-14,No,-107,YG(供应链预估),"原材料不足,关键物料:12.01.01.164有货时间:2024-02-28","ID191,ID206"
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-02-24 00:00:00,2024-03-02,2023-11-14,No,-109,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID251,ID265,ID290,ID304,ID327,ID341"
67,ID307,13.01.07.008,TF-Luna-ASU,3000,"[3000, 3000, 3000]",2024-02-26 00:00:00,2024-03-05,2023-11-22,No,-104,PR(客户提出付款意向),"优先级不足,关键物料12.01.01.214有货时间:2024-02-07",ID307
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-02-26 00:00:00,2024-03-01,2023-11-14,No,-108,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-02-02","ID241,ID262,ID280,ID301,ID317,ID338,ID364,ID385"
69,ID185,13.01.02.030,TF02-Pro-W-485(整箱包装)-V1.0,100,"[100, 100, 100]",2023-11-10 00:00:00,2023-11-10,2023-11-13,Yes,3,YC(销售预测),无,ID185
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,"[100, 100, 100]",2023-11-11 00:00:00,2023-11-11,2023-11-13,Yes,2,YC(销售预测),无,ID186
71,ID246,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,"[60, 60, 60]",2023-11-06 00:00:00,2023-11-06,2023-11-14,Yes,8,YG(供应链预估),无,"ID246,ID269"
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-02-27 00:00:00,2024-03-06,2023-11-21,No,-106,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID291,ID305,ID328,ID342,ID375,ID389"
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,3700,"[3700, 3700, 3700]",2024-03-01 00:00:00,2024-03-20,2023-12-04,No,-107,YC(销售预测),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02",ID271
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-03-04 00:00:00,2024-03-05,2023-11-21,No,-105,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID282,ID319,ID366,ID402"
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,120,"[120, 120, 120]",2024-03-02 00:00:00,2024-03-04,2023-11-21,No,-104,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID288,ID302,ID325,ID339,ID372,ID386,ID408,ID422,ID465,ID479,ID502,ID516"
76,ID231,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,500,"[0, 0, 0]",未开始,2024-07-13,2023-11-24,No,-232,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID231,ID235,ID258,ID274,ID297,ID311,ID334"
77,ID299,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,"[0, 0, 0]",未开始,2024-07-13,2023-11-21,No,-235,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID276,ID299,ID313,ID336,ID360,ID383,ID396,ID419,ID431,ID453,ID476,ID490,ID513,ID525,ID553,ID565,ID593,ID604,ID626,ID654,ID666,ID694"
78,ID229,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,"[0, 0, 0]",未开始,2024-07-13,2023-11-23,No,-233,YC(销售预测),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06",ID229
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,8,"[8, 8, 8]",2023-10-20 00:00:00,2023-10-21,2023-11-21,Yes,31,YG(供应链预估),无,"ID287,ID324,ID371,ID407"
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,40,"[40, 40, 40]",2024-02-28 00:00:00,2024-03-02,2023-11-30,No,-93,PR(客户提出付款意向),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02",ID352
81,ID340,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-03-06 00:00:00,2024-03-21,2023-11-28,No,-114,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID326,ID340,ID373,ID387,ID409,ID423"
82,ID391,13.01.07.008,TF-Luna-ASU,2000,"[2000, 2000, 2000]",2024-03-06 00:00:00,2024-03-22,2023-12-10,No,-103,PR(客户提出付款意向),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02",ID391
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-11 00:00:00,2023-10-11,2023-11-28,Yes,48,YG(供应链预估),无,"ID330,ID343,ID377,ID390,ID413,ID426,ID470,ID483"
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,"[60, 60, 60]",2024-03-07 00:00:00,2024-03-07,2023-11-30,No,-98,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02","ID270,ID285,ID322,ID369,ID405"
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-03-07 00:00:00,2024-03-26,2023-12-07,No,-110,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-07","ID374,ID388,ID410,ID424"
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2024-03-08 00:00:00,2024-03-18,2023-12-14,No,-95,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID353,ID376,ID412"
87,ID381,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,"[0, 0, 0]",未开始,2024-07-13,2023-12-07,No,-219,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID358,ID381,ID394,ID417,ID430,ID451,ID474,ID488,ID511,ID523,ID551,ID563,ID591"
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,120,"[120, 120, 120]",2024-03-09 00:00:00,2024-03-13,2023-12-07,No,-97,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID367,ID403,ID439,ID460,ID497,ID537,ID577,ID612,ID638"
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-03-12 00:00:00,2024-03-15,2023-12-14,No,-92,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID411,ID425,ID446,ID468,ID482"
90,ID351,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2023-12-14,No,-212,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID351,ID359,ID382,ID395,ID418"
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-03-12 00:00:00,2024-03-28,2023-12-14,No,-105,YC(销售预测),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID346,ID347,ID348,ID349,ID350"
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,"[800, 800, 800]",2024-02-27 00:00:00,2024-03-16,2023-12-14,No,-93,YG(供应链预估),"优先级不足,关键物料12.01.01.215有货时间:2024-02-02","ID400,ID421,ID434,ID457,ID478,ID494,ID515"
93,ID397,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,100,"[0, 0, 0]",未开始,2024-07-13,2023-12-14,No,-212,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID397,ID432,ID454,ID491,ID526,ID566,ID605,ID627,ID667,ID707,ID747"
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,"[100, 100, 100]",2023-10-11 00:00:00,2023-10-12,2023-12-14,Yes,63,YG(供应链预估),无,"ID344,ID362,ID384,ID398,ID420,ID433,ID455,ID477,ID492,ID514,ID527,ID554,ID567,ID594,ID606,ID628,ID655,ID668,ID695,ID708,ID735,ID748,ID775,ID787"
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,"[30, 30, 30]",2024-03-07 00:00:00,2024-03-13,2023-12-14,No,-90,YC(销售预测),"优先级不足,关键物料12.01.01.164有货时间:2024-02-02",ID354
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,200,"[200, 200, 200]",2023-10-09 00:00:00,2023-10-10,2023-12-24,Yes,75,PO(客户付款),无,ID484
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,"[2100, 2100, 2100]",2024-03-18 00:00:00,2024-03-29,2023-12-29,No,-91,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-15","ID445,ID469,ID506,ID546,ID586,ID618"
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,-1940,"[-1940, -1940, -1940]",2023-10-08 00:00:00,2023-10-09,2023-12-25,Yes,77,PO(客户已付款),无,ID485
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,4940,"[4940, 4940, 4940]",2024-03-21 00:00:00,2024-04-02,2023-12-29,No,-95,YC(销售预测),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID427,ID443,ID467,ID481"
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,"[900, 900, 900]",2024-03-21 00:00:00,2024-03-25,2023-12-28,No,-88,YG(供应链预估),"优先级不足,关键物料12.01.01.139有货时间:2024-02-28","ID505,ID519,ID545,ID559"
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2024-03-22 00:00:00,2024-04-04,2023-12-28,No,-98,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-02","ID504,ID518,ID544,ID558,ID584,ID598"
102,ID429,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2023-12-29,No,-197,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID429,ID452,ID475,ID489,ID512,ID524,ID552,ID564,ID592,ID602"
103,ID444,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,"[1500, 1500, 1500]",2024-03-25 00:00:00,2024-04-05,2023-12-29,No,-98,YG(供应链预估),"优先级不足,关键物料12.01.01.214有货时间:2024-02-20","ID444,ID466,ID480,ID503,ID517,ID543,ID557"
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,120,"[120, 120, 120]",2024-03-27 00:00:00,2024-03-29,2023-12-29,No,-91,YG(供应链预估),"优先级不足,关键物料12.01.01.164有货时间:2024-02-28","ID437,ID459,ID496"
