ŒÔ¡œ±‡¬Î,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-23,2023-10-25,2023-10-28,2023-10-30,2023-10-31,2023-11-01,2023-11-03,2023-11-04,2023-11-06,2023-11-08,2023-11-10,2023-11-11,2023-11-13,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-23,2023-11-25,2023-11-28,2023-11-29,2023-11-30,2023-12-02,2023-12-04,2023-12-09,2023-12-11,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-18,2023-12-19,2023-12-20,2023-12-23,2023-12-28,2024-01-02,2024-01-06,2024-01-10,2024-01-11,2024-01-13,2024-01-15,2024-01-16,2024-01-17,2024-01-20,2024-01-23,2024-01-26,2024-01-27,2024-02-01,2024-02-02,2024-02-06,2024-02-07,2024-02-08,2024-02-10,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-26,2024-02-27,2024-02-28,2024-02-29,2024-03-01,2024-03-02,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-09,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-16,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-04-01,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-15,2024-04-16,2024-04-17,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-05-01,2024-05-04,2024-05-07,2024-05-08,2024-05-09,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-21,2024-05-24,2024-05-25,2024-05-27,2024-05-28,2024-05-29,2024-06-06,2024-06-15,2024-06-24,2024-07-19,2024-07-20,2024-07-31,2024-08-06,2024-08-10,2024-08-12,2024-08-13,2024-08-14,2024-08-24,2024-08-26,2024-09-21,2024-10-08,2024-12-06,2024-12-07,2024-12-24,2025-01-01
10.04.03.088,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,13447,11047,11047,11047,11047,11047,11047,11047,11047,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.03.128,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,63914,51914,51914,70614,70614,70614,70614,70614,70614,70614,70614,70614,70614,70614,70614,70614,70614,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.03.058,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,733788,732588,732588,732588,732588,732588,732588,732588,732588,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.09.045,120151,120151,120151,120151,120151,120151,120151,120151,120151,120151,120151,120151,120151,140151,140151,140151,140151,140151,140151,140151,140151,140151,140151,140151,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.06.019,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,19558,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.256,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,190578,203378,203378,203378,203378,203378,203378,203378,203378,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.239,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,94030,107930,107930,107930,107930,107930,107930,107930,107930,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.247,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,46441,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.248,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,42474,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.249,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,52564,50264,50264,50264,50264,50264,50264,50264,50264,50264,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.01.266,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,23956,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.03.02.158,8250,8250,8250,8250,8250,23250,23250,23250,23250,23250,23250,23250,23250,23250,23250,23250,22050,22050,22050,22050,22050,37050,37050,37050,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.07.042,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,24227,21627,21627,21627,36627,36627,36627,36627,36627,35427,34227,34227,34227,34227,37227,37227,37227,37227,34927,34927,34927,34927,34927,34927,34927,34927,34927,34927,32527,32527,32527,32527,32527,38527,38527,38527,38527,38527,36727,26127,26127,26127,26127,26127,26127,26127,26127,26127,26127,26127,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,15327,15327,18327,18327,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,15927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,18927,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10.04.07.102,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,20451,19251,19251,19251,19251,19251,19251,19251,19251,17451,17451,17451,17451,17451,17451,17451,5451,5451,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,3151,5351,5351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,5351,2351,2351,2351,2351,2351,2351,2351,2351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,8351,5151,5151,5151,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
