生产ID,任务来源ID,物料编码,物料名称,需补货数量,预计开始时间,需入库时间,优先级,所包含销售订单
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2023-10-06,2023-10-14,YG(供应链预估),"ID71,ID85,ID113,ID127"
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2023-10-06,2023-10-08,YG(供应链预估),"ID23,ID36,ID73,ID86,ID115,ID128"
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2023-10-09,2023-10-14,YG(供应链预估),"ID69,ID83,ID111,ID125,ID156,ID170"
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-10-09,2023-10-14,YG(供应链预估),"ID70,ID84,ID87,ID112,ID126,ID157,ID171"
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,1500,2023-10-10,2023-11-07,PO(客户付款),ID192
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2023-10-10,2023-10-14,YG(供应链预估),"ID60,ID81,ID102,ID123,ID147,ID168,ID201,ID222"
31,ID130,13.01.07.008,TF-Luna-ASU,2000,2023-10-11,2023-10-24,PO(客户付款),ID130
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,2023-10-12,2023-10-14,YG(供应链预估),"ID58,ID80,ID100,ID122,ID145,ID167,ID174,ID199,ID221,ID239,ID261,ID278,ID300,ID315,ID337"
33,ID133,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1445,2023-10-12,2023-10-25,PO(客户已付款),ID133
34,ID132,13.01.07.008,TF-Luna-ASU,2000,2023-10-12,2023-10-25,PO(客户付款),ID132
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,200,2023-10-12,2023-10-23,PO(客户付款),ID129
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,96,2023-10-13,2023-10-14,YG(供应链预估),"ID54,ID77,ID96,ID119,ID141,ID164,ID195,ID218"
37,ID57,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,48,2023-10-13,2023-10-14,YG(供应链预估),"ID57,ID99,ID144,ID198,ID238,ID277,ID314,ID361"
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,2,2023-10-13,2023-10-14,YG(供应链预估),ID67
39,ID355,DZ.01.02.023.F,TF02-Pro标品(整箱包装)-V1.0-软件定制,3500,2023-10-13,2023-12-07,PO(客户付款),ID355
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,1000,2023-10-20,2023-11-08,YC(销售预测),ID131
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,2,2023-10-20,2023-10-21,YG(供应链预估),ID109
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,2023-10-20,2023-10-21,YC(销售预测),ID1
43,ID172,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2023-10-20,2023-10-28,YG(供应链预估),"ID158,ID172,ID212,ID226,ID252,ID266"
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,20,2023-10-20,2023-10-21,YG(供应链预估),"ID118,ID163,ID217,ID257,ID296,ID333,ID380,ID416,ID473,ID510,ID550,ID590,ID651,ID691,ID731,ID771,ID832,ID859,ID912,ID952"
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,2023-10-24,2023-10-25,YG(供应链预估),"ID40,ID535"
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2023-10-25,2023-10-28,YG(供应链预估),"ID149,ID203,ID243"
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,55,2023-10-27,2023-10-28,YG(供应链预估),ID148
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2023-10-27,2023-10-28,YG(供应链预估),"ID160,ID173,ID214,ID227,ID254,ID267,ID293,ID306"
49,ID228,13.01.07.008,TF-Luna-ASU,1500,2023-10-28,2023-11-09,PO(客户付款),ID228
50,ID230,13.01.07.008,TF-Luna-ASU,1500,2023-10-30,2023-11-10,PO(客户付款),ID230
51,ID45,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2023-10-31,2023-11-12,YG(供应链预估),"ID45,ID72,ID114,ID159,ID176,ID181,ID187,ID213"
52,ID219,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2023-11-01,2023-11-07,YG(供应链预估),"ID196,ID219,ID236,ID259,ID275,ID298,ID312,ID335"
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,480,2023-11-01,2023-11-13,YG(供应链预估),"ID178,ID179,ID180,ID184,ID208,ID248"
54,ID224,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2023-11-01,2023-11-07,YG(供应链预估),"ID210,ID224,ID250,ID264,ID289,ID303"
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,4800,2023-11-02,2023-11-12,XD(意向询单),"ID43,ID46"
56,ID232,13.01.07.008,TF-Luna-ASU,1000,2023-11-02,2023-11-13,PR(客户提出付款意向),ID232
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2023-11-02,2023-11-14,YG(供应链预估),"ID253,ID292,ID308,ID329"
58,ID138,13.01.02.039,TF02-Pro-Breezer,450,2023-11-06,2023-11-11,YC(销售预测),ID138
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,120,2023-11-06,2023-11-09,YC(销售预测),ID135
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,2023-11-06,2023-11-09,YG(供应链预估),"ID134,ID137,ID154"
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,20,2023-11-06,2023-11-07,YG(供应链预估),"ID215,ID255,ID294,ID331,ID378,ID414,ID447,ID471,ID508"
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,120,2023-11-07,2023-11-10,YG(供应链预估),"ID136,ID150,ID204,ID244,ID283,ID320"
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-11-07,2023-11-13,YG(供应链预估),"ID177,ID183,ID188,ID189,ID190,ID211,ID225"
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,2023-11-08,2023-11-13,YG(供应链预估),"ID182,ID202,ID242,ID281,ID318,ID365,ID401,ID435,ID458,ID495"
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,190,2023-11-08,2023-11-14,YG(供应链预估),"ID191,ID206"
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-11-08,2023-11-14,YG(供应链预估),"ID251,ID265,ID290,ID304,ID327,ID341"
67,ID307,13.01.07.008,TF-Luna-ASU,3000,2023-11-08,2023-11-22,PR(客户提出付款意向),ID307
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2023-11-09,2023-11-14,YG(供应链预估),"ID241,ID262,ID280,ID301,ID317,ID338,ID364,ID385"
69,ID185,13.01.02.030,TF02-Pro-W-485(整箱包装)-V1.0,100,2023-11-10,2023-11-13,YC(销售预测),ID185
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,2023-11-11,2023-11-13,YC(销售预测),ID186
71,ID246,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,2023-11-11,2023-11-14,YG(供应链预估),"ID246,ID269"
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2023-11-13,2023-11-21,YG(供应链预估),"ID291,ID305,ID328,ID342,ID375,ID389"
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,3700,2023-11-14,2023-12-04,YC(销售预测),ID271
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2023-11-17,2023-11-21,YG(供应链预估),"ID282,ID319,ID366,ID402"
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,120,2023-11-17,2023-11-21,YG(供应链预估),"ID288,ID302,ID325,ID339,ID372,ID386,ID408,ID422,ID465,ID479,ID502,ID516"
76,ID231,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,500,2023-11-18,2023-11-24,YG(供应链预估),"ID231,ID235,ID258,ID274,ID297,ID311,ID334"
77,ID299,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,2023-11-18,2023-11-21,YG(供应链预估),"ID276,ID299,ID313,ID336,ID360,ID383,ID396,ID419,ID431,ID453,ID476,ID490,ID513,ID525,ID553,ID565,ID593,ID604,ID626,ID654,ID666,ID694"
78,ID229,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,2023-11-20,2023-11-23,YC(销售预测),ID229
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,8,2023-11-20,2023-11-21,YG(供应链预估),"ID287,ID324,ID371,ID407"
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,40,2023-11-21,2023-11-30,PR(客户提出付款意向),ID352
81,ID340,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2023-11-22,2023-11-28,YG(供应链预估),"ID326,ID340,ID373,ID387,ID409,ID423"
82,ID391,13.01.07.008,TF-Luna-ASU,2000,2023-11-27,2023-12-10,PR(客户提出付款意向),ID391
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2023-11-27,2023-11-28,YG(供应链预估),"ID330,ID343,ID377,ID390,ID413,ID426,ID470,ID483"
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,2023-11-28,2023-11-30,YG(供应链预估),"ID270,ID285,ID322,ID369,ID405"
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-12-01,2023-12-07,YG(供应链预估),"ID374,ID388,ID410,ID424"
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2023-12-02,2023-12-14,YG(供应链预估),"ID353,ID376,ID412"
87,ID381,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,2023-12-04,2023-12-07,YG(供应链预估),"ID358,ID381,ID394,ID417,ID430,ID451,ID474,ID488,ID511,ID523,ID551,ID563,ID591"
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,120,2023-12-04,2023-12-07,YG(供应链预估),"ID367,ID403,ID439,ID460,ID497,ID537,ID577,ID612,ID638"
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2023-12-06,2023-12-14,YG(供应链预估),"ID411,ID425,ID446,ID468,ID482"
90,ID351,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2023-12-08,2023-12-14,YG(供应链预估),"ID351,ID359,ID382,ID395,ID418"
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-12-08,2023-12-14,YC(销售预测),"ID346,ID347,ID348,ID349,ID350"
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2023-12-09,2023-12-14,YG(供应链预估),"ID400,ID421,ID434,ID457,ID478,ID494,ID515"
93,ID397,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,100,2023-12-12,2023-12-14,YG(供应链预估),"ID397,ID432,ID454,ID491,ID526,ID566,ID605,ID627,ID667,ID707,ID747"
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,2023-12-12,2023-12-14,YG(供应链预估),"ID344,ID362,ID384,ID398,ID420,ID433,ID455,ID477,ID492,ID514,ID527,ID554,ID567,ID594,ID606,ID628,ID655,ID668,ID695,ID708,ID735,ID748,ID775,ID787"
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,2023-12-13,2023-12-14,YC(销售预测),ID354
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,200,2023-12-13,2023-12-24,PO(客户付款),ID484
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2023-12-18,2023-12-29,YG(供应链预估),"ID445,ID469,ID506,ID546,ID586,ID618"
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,-1940,2023-12-19,2023-12-25,PO(客户已付款),ID485
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,4940,2023-12-20,2023-12-29,YC(销售预测),"ID427,ID443,ID467,ID481"
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2023-12-20,2023-12-28,YG(供应链预估),"ID505,ID519,ID545,ID559"
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2023-12-22,2023-12-28,YG(供应链预估),"ID504,ID518,ID544,ID558,ID584,ID598"
102,ID429,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2023-12-23,2023-12-29,YG(供应链预估),"ID429,ID452,ID475,ID489,ID512,ID524,ID552,ID564,ID592,ID602"
103,ID444,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2023-12-23,2023-12-29,YG(供应链预估),"ID444,ID466,ID480,ID503,ID517,ID543,ID557"
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2023-12-26,2023-12-29,YG(供应链预估),"ID437,ID459,ID496"
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,2023-12-26,2023-12-29,YG(供应链预估),"ID438,ID464,ID501,ID541,ID581"
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,2023-12-27,2023-12-29,YG(供应链预估),"ID441,ID462,ID499,ID539,ID579,ID614,ID640,ID680,ID720,ID760,ID795,ID821,ID848,ID901"
107,ID520,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2023-12-27,2023-12-28,YG(供应链预估),"ID507,ID520,ID547,ID560,ID587,ID600,ID648,ID661"
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-01-02,2024-01-07,YG(供应链预估),"ID529,ID555,ID569,ID595,ID607,ID630,ID656"
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,2024-01-02,2024-01-07,YG(供应链预估),"ID530,ID570,ID608,ID631,ID671,ID711,ID751,ID789,ID812,ID879,ID892,ID932"
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-01-03,2024-01-07,YG(供应链预估),"ID536,ID576,ID610"
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,120,2024-01-03,2024-01-07,YG(供应链预估),"ID542,ID556,ID582,ID596,ID643,ID657,ID683,ID697,ID723,ID737,ID763,ID777,ID824,ID838"
112,ID533,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,2024-01-05,2024-01-07,YG(供应链预估),"ID533,ID573,ID634,ID674,ID714"
113,ID532,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,2024-01-05,2024-01-07,YG(供应链预估),"ID532,ID572,ID633,ID673,ID713,ID753"
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-01-05,2024-01-14,YG(供应链预估),"ID585,ID599,ID619,ID646,ID660,ID686,ID700"
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,20,2024-01-05,2024-01-07,YG(供应链预估),"ID548,ID588,ID620,ID649,ID689,ID729,ID769,ID801,ID830"
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-01-08,2024-01-14,YG(供应链预估),"ID583,ID597,ID617,ID644,ID658"
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2024-01-09,2024-01-21,YG(供应链预估),"ID647,ID687,ID727,ID767,ID799,ID828,ID855,ID908"
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,2024-01-12,2024-01-14,YG(供应链预估),"ID575,ID636,ID676,ID716,ID756"
119,ID653,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2024-01-15,2024-01-21,YG(供应链预估),"ID625,ID653,ID665,ID693,ID705,ID733,ID745,ID773,ID783,ID806,ID834"
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-01-17,2024-01-21,YG(供应链预估),"ID637,ID677,ID717,ID757"
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-01-22,2024-01-28,YG(供应链预估),"ID684,ID698,ID724,ID738,ID764,ID778"
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-01-23,2024-01-28,YG(供应链预估),"ID670,ID696,ID710,ID736,ID750,ID776,ID788"
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2024-01-23,2024-01-29,YG(供应链预估),"ID616,ID645,ID659,ID685,ID699,ID725,ID739,ID765,ID779"
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,120,2024-01-24,2024-01-28,YG(供应链预估),"ID678,ID718,ID758,ID793,ID819,ID846,ID899,ID939,ID975,ID1001"
125,ID603,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,2024-01-25,2024-01-29,YG(供应链预估),"ID603,ID624,ID652,ID664,ID692,ID704,ID732,ID744,ID772,ID784"
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,2024-01-25,2024-01-29,YG(供应链预估),"ID611,ID642,ID682,ID722,ID762,ID792,ID823,ID850,ID903,ID943"
127,ID615,13.01.06.004,S2R继电器板,200,2024-01-26,2024-01-29,YG(供应链预估),"ID615,ID622,ID623,ID662,ID663,ID702,ID703,ID742,ID743,ID796,ID803,ID804,ID870,ID871,ID883,ID884,ID923,ID924,ID978,ID985,ID986,ID1025,ID1026,ID1065,ID1066,ID1105,ID1106"
128,ID701,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2024-01-26,2024-01-28,YG(供应链预估),"ID688,ID701,ID728,ID741,ID768,ID781,ID829,ID842"
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-01-30,2024-02-07,YG(供应链预估),"ID726,ID740,ID766,ID780,ID800"
130,ID734,13.01.02.035,TF02-i-485(单品包装)-V1.0,100,2024-02-05,2024-02-07,YG(供应链预估),"ID706,ID734,ID746,ID774,ID785,ID807,ID835,ID862,ID874,ID887,ID915,ID927,ID955,ID967,ID989,ID1017,ID1029,ID1057,ID1069,ID1097,ID1109,ID1137"
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,50,2024-02-05,2024-02-07,YG(供应链预估),"ID730,ID770,ID802,ID831,ID858,ID911,ID951,ID984,ID1013,ID1053,ID1093,ID1133,ID1165,ID1194,ID1234"
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,9000,2024-02-09,2024-03-29,YC(销售预测),"ID963,ID981"
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,2024-02-13,2024-02-14,YG(供应链预估),"ID754,ID815,ID882,ID895,ID935"
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-02-13,2024-02-21,YG(供应链预估),"ID827,ID841,ID854,ID868"
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-02-16,2024-02-21,YG(供应链预估),"ID811,ID837,ID864,ID878,ID891,ID917,ID931,ID957"
136,ID833,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,300,2024-02-17,2024-02-21,YG(供应链预估),"ID805,ID833,ID860,ID872,ID885,ID913,ID925,ID953,ID966,ID987,ID1015,ID1027,ID1055,ID1067,ID1095"
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,100,2024-02-19,2024-02-21,YG(供应链预估),"ID809,ID836,ID863,ID876,ID889,ID916,ID929,ID956,ID969,ID991,ID1018,ID1031,ID1058,ID1071,ID1098,ID1111,ID1138,ID1150,ID1172,ID1199,ID1212,ID1239"
138,ID814,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,100,2024-02-20,2024-02-21,YG(供应链预估),"ID814,ID881,ID894,ID934,ID996,ID1036"
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,2024-02-20,2024-02-21,YG(供应链预估),"ID817,ID844,ID897,ID937"
140,ID873,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2024-02-22,2024-02-28,YG(供应链预估),"ID861,ID873,ID886,ID914,ID926,ID954,ID965,ID988,ID1016,ID1028,ID1056"
141,ID798,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-02-23,2024-02-29,YG(供应链预估),"ID798,ID825,ID839,ID852,ID866"
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2024-02-23,2024-02-29,YG(供应链预估),"ID797,ID826,ID840,ID853,ID867,ID906,ID920,ID946,ID960"
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,120,2024-02-24,2024-02-28,YG(供应链预估),"ID851,ID865,ID904,ID918,ID944,ID958,ID1006,ID1020,ID1046,ID1060,ID1086,ID1100"
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-02-26,2024-02-29,YG(供应链预估),"ID791,ID818,ID845"
145,ID786,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,100,2024-02-27,2024-02-29,YG(供应链预估),"ID786,ID808,ID875,ID888,ID928,ID968,ID990,ID1030,ID1070,ID1110,ID1149,ID1171,ID1211"
146,ID880,13.01.04.046,TFmini-i-485(整箱包装)-V1.0,100,2024-02-27,2024-02-28,YG(供应链预估),"ID880,ID893,ID933,ID995,ID1035,ID1075,ID1115,ID1176,ID1216"
147,ID869,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,100,2024-02-27,2024-02-28,YG(供应链预估),"ID856,ID869,ID909,ID922,ID949,ID962,ID1011,ID1024"
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,20,2024-02-27,2024-02-28,YG(供应链预估),"ID857,ID910,ID950,ID983,ID1012,ID1052,ID1092,ID1132,ID1164"
149,ID921,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-02-28,2024-03-07,YG(供应链预估),"ID907,ID921,ID947,ID961,ID982"
150,ID919,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-03-01,2024-03-07,YG(供应链预估),"ID905,ID919,ID945,ID959,ID980,ID1007,ID1021"
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2024-03-02,2024-03-14,YG(供应链预估),ID948
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-03-04,2024-03-07,YG(供应链预估),"ID898,ID938,ID973"
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,200,2024-03-06,2024-03-07,YG(供应链预估),"ID890,ID930,ID992,ID1032,ID1072,ID1112,ID1173,ID1213"
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2100,2024-03-09,2024-03-21,YG(供应链预估),"ID1010,ID1050,ID1090,ID1130,ID1162,ID1191,ID1231"
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,60,2024-03-12,2024-03-14,YG(供应链预估),"ID941,ID977,ID1003,ID1043,ID1083,ID1123,ID1158,ID1184,ID1224"
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,900,2024-03-13,2024-03-21,YG(供应链预估),"ID1009,ID1023,ID1049,ID1063,ID1089,ID1103"
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2024-03-18,2024-03-21,YG(供应链预估),"ID1000,ID1040,ID1080"
158,ID997,13.01.04.051,TFmini-i-485(整箱) 2m散线,100,2024-03-20,2024-03-21,YG(供应链预估),"ID997,ID1037,ID1077,ID1117,ID1178"
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,100,2024-03-20,2024-03-21,YG(供应链预估),"ID999,ID1039,ID1079,ID1119"
160,ID1014,13.01.09.003,TF350-232(单品包装)-V1.0,20,2024-03-20,2024-03-21,YG(供应链预估),"ID1014,ID1054,ID1094,ID1134,ID1195,ID1235"
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,1500,2024-03-22,2024-03-28,YG(供应链预估),"ID1047,ID1061,ID1087,ID1101,ID1127,ID1141"
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,2024-03-23,2024-03-29,YG(供应链预估),"ID979,ID1008,ID1022,ID1048,ID1062,ID1088,ID1102,ID1128,ID1142,ID1160,ID1189,ID1203"
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,800,2024-03-25,2024-03-29,YG(供应链预估),"ID970,ID993,ID1019,ID1033,ID1059,ID1073,ID1099"
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,2024-03-25,2024-03-29,YG(供应链预估),"ID971,ID994,ID1034,ID1074,ID1114,ID1152,ID1175,ID1215"
165,ID1041,13.01.05.006,TF03-485(单品包装)-V1.1,120,2024-03-25,2024-03-28,YG(供应链预估),"ID1041,ID1081,ID1121,ID1156,ID1182,ID1222"
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,120,2024-03-26,2024-03-29,YG(供应链预估),"ID974,ID1005,ID1045,ID1085,ID1125,ID1155,ID1186,ID1226"
